Filename,Image_Type,Human_ID,State,Target_IDs,Gaze
conversation_1771951446458.jpg,Annotated,1,conversation,[2],at_target
conversation_1771951446458.jpg,Annotated,2,conversation,[1],at_target
conversation_1771951462977.jpg,Annotated,1,conversation,[2],at_target
conversation_1771951462977.jpg,Annotated,2,conversation,[1],at_target
conversation_1771951532229.jpg,Annotated,1,ignoring,[],forward
conversation_1771951532229.jpg,Annotated,2,shared_task,[],forward
conversation_1771951547877.jpg,Annotated,1,shared_task,[2],at_target
conversation_1771951547877.jpg,Annotated,2,shared_task,[1],at_target
conversation_1771951585048.jpg,Annotated,1,ignoring,[],forward
conversation_1771951591905.jpg,Annotated,1,ignoring,[],forward
conversation_1771951591905.jpg,Annotated,2,conversation,[],forward
conversation_1771951646249.jpg,Annotated,1,ignoring,[],forward
conversation_1771951646249.jpg,Annotated,2,conversation,[1],at_target
ignoring_1771951537565.jpg,Annotated,1,conversation,[2],at_target
ignoring_1771951537565.jpg,Annotated,2,shared_task,[1],at_target
ignoring_1771951695608.jpg,Annotated,1,ignoring,[],forward
ignoring_1771951695608.jpg,Annotated,2,ignoring,[],forward
ignoring_1771951707113.jpg,Annotated,1,ignoring,[],forward
ignoring_1771951707113.jpg,Annotated,2,ignoring,[],forward
ignoring_1771951724046.jpg,Annotated,1,ignoring,[],forward
ignoring_1771951724046.jpg,Annotated,2,ignoring,[],forward
ignoring_1771951747549.jpg,Annotated,1,ignoring,[],left
ignoring_1771951747549.jpg,Annotated,2,ignoring,[],forward
ignoring_1771951757277.jpg,Annotated,1,ignoring,[],forward
ignoring_1771951757277.jpg,Annotated,2,ignoring,[],forward
ignoring_1771951795854.jpg,Annotated,1,ignoring,[],forward
ignoring_1771951795854.jpg,Annotated,2,shared_task,[],forward
parallel_walking_1771952328740.jpg,Annotated,1,parallel_walking,[2],forward
parallel_walking_1771952328740.jpg,Annotated,2,parallel_walking,[1],forward
parallel_walking_1771952359601.jpg,Annotated,1,ignoring,[],left
parallel_walking_1771952359601.jpg,Annotated,2,ignoring,[],forward
parallel_walking_1771952374215.jpg,Annotated,1,conversation,[2],at_target
parallel_walking_1771952374215.jpg,Annotated,2,conversation,[1],at_target
parallel_walking_1771952392699.jpg,Annotated,1,conversation,[2],at_target
parallel_walking_1771952392699.jpg,Annotated,2,conversation,[1],at_target
parallel_walking_1771952408138.jpg,Annotated,1,conversation,[2],at_target
parallel_walking_1771952408138.jpg,Annotated,2,conversation,[1],at_target
photography_1771951181665.jpg,Annotated,1,conversation,[2],at_target
photography_1771951181665.jpg,Annotated,2,conversation,[1],at_target
photography_1771951194245.jpg,Annotated,1,ignoring,[],forward
photography_1771951209372.jpg,Annotated,1,conversation,[2],at_target
photography_1771951209372.jpg,Annotated,2,conversation,[1],at_target
photography_1771951267174.jpg,Annotated,1,photography,[2],at_target
photography_1771951267174.jpg,Annotated,2,presenting,[1],at_target
photography_1771951272391.jpg,Annotated,1,photography,[2],at_target
photography_1771951272391.jpg,Annotated,2,presenting,[1],at_target
photography_1771951303398.jpg,Annotated,1,photography,[],forward
photography_1771951349168.jpg,Annotated,1,ignoring,[],forward
photography_1771951349168.jpg,Annotated,2,ignoring,[],at_target
playing_1771951899263.jpg,Annotated,1,shared_task,[2],at_target
playing_1771951899263.jpg,Annotated,2,shared_task,[1],at_target
playing_1771951914834.jpg,Annotated,1,shared_task,[2],at_target
playing_1771951914834.jpg,Annotated,2,shared_task,[1],at_target
playing_1771951937424.jpg,Annotated,1,ignoring,[],forward
playing_1771951937424.jpg,Annotated,2,conversation,[1],at_target
playing_1771951967861.jpg,Annotated,1,shared_task,[2],at_target
playing_1771951967861.jpg,Annotated,2,shared_task,[1],at_target
playing_1771951977481.jpg,Annotated,1,playing,[2],at_target
playing_1771951977481.jpg,Annotated,2,playing,[1],at_target
playing_1771952104654.jpg,Annotated,1,shared_task,[2],at_target
playing_1771952104654.jpg,Annotated,2,shared_task,[1],at_target
shared_task_1771952134603.jpg,Annotated,1,shared_task,[2],at_target
shared_task_1771952134603.jpg,Annotated,2,shared_task,[1],at_target
shared_task_1771952149087.jpg,Annotated,1,shared_task,[2],at_target
shared_task_1771952149087.jpg,Annotated,2,shared_task,[1],at_target
shared_task_1771952163360.jpg,Annotated,1,shared_task,[2],at_target
shared_task_1771952163360.jpg,Annotated,2,shared_task,[1],at_target
shared_task_1771952185277.jpg,Annotated,1,shared_task,[2],at_target
shared_task_1771952185277.jpg,Annotated,2,shared_task,[1],at_target
shared_task_1771952240036.jpg,Annotated,1,shared_task,[2],at_target
shared_task_1771952240036.jpg,Annotated,2,shared_task,[1],at_target
shared_task_1771952293151.jpg,Annotated,1,shared_task,[2],at_target
shared_task_1771952293151.jpg,Annotated,2,shared_task,[1],at_target
